episode_id,state,event_type,event_begin_time,event_end_time,damage_property,event_latitude,event_longitude,Date,Time
59806,Illinois,flood,2012-01-24 01:30:00,2012-01-31 23:59:00,2000.0,38.4227,-87.7433,2012-01-24,01:30:00
59807,Indiana,flood,2012-01-24 01:30:00,2012-01-31 23:59:00,2000.0,38.4,-87.73,2012-01-24,01:30:00
59807,Indiana,flood,2012-01-23 06:00:00,2012-01-31 23:59:00,2000.0,38.1347,-87.9387,2012-01-23,06:00:00
59807,Indiana,flood,2012-01-19 10:30:00,2012-01-31 23:59:00,2000.0,38.5137,-87.2701,2012-01-19,10:30:00
59807,Indiana,flood,2012-01-19 22:00:00,2012-01-31 23:59:00,3000.0,38.4977,-87.5411,2012-01-19,22:00:00
59808,Washington,flood,2012-01-21 02:00:00,2012-01-21 12:00:00,0.0,46.3662,-123.5404,2012-01-21,02:00:00
59811,Oregon,flood,2012-01-19 00:00:00,2012-01-20 00:00:00,0.0,44.9104,-123.1622,2012-01-19,00:00:00
59811,Oregon,flood,2012-01-19 00:00:00,2012-01-20 00:00:00,0.0,44.6965,-122.8423,2012-01-19,00:00:00
59811,Oregon,flood,2012-01-18 15:00:00,2012-01-20 00:00:00,0.0,44.5934,-123.0249,2012-01-18,15:00:00
59874,Georgia,flood,2012-02-18 21:25:00,2012-02-18 23:15:00,0.0,31.6136,-84.2198,2012-02-18,21:25:00
59909,Indiana,flood,2012-01-27 00:20:00,2012-01-27 13:55:00,0.0,38.8032,-85.6812,2012-01-27,00:20:00
59923,Missouri,flood,2012-02-04 02:00:00,2012-02-04 02:00:00,0.0,36.53,-92.38,2012-02-04,02:00:00
59923,Missouri,flood,2012-02-04 09:30:00,2012-02-04 09:30:00,0.0,36.52,-92.01,2012-02-04,09:30:00
59979,Washington,flood,2012-01-29 15:00:00,2012-01-30 05:00:00,0.0,47.2459,-117.0703,2012-01-29,15:00:00
59980,Idaho,flood,2012-01-29 15:00:00,2012-01-30 05:00:00,0.0,47.9362,-116.865,2012-01-29,15:00:00
59980,Idaho,flood,2012-01-29 15:00:00,2012-01-30 05:00:00,0.0,48.1084,-116.0582,2012-01-29,15:00:00
60129,Wyoming,flood,2012-02-22 20:00:00,2012-02-23 02:00:00,0.0,44.6492,-106.37100000000001,2012-02-22,20:00:00
60134,Montana,flood,2012-02-22 08:00:00,2012-02-23 12:00:00,0.0,45.6797,-107.1497,2012-02-22,08:00:00
60134,Montana,flood,2012-02-22 08:00:00,2012-02-23 12:00:00,0.0,45.7372,-106.897,2012-02-22,08:00:00
60218,Georgia,flood,2012-03-06 02:30:00,2012-03-06 02:30:00,15000.0,31.3579,-83.5082,2012-03-06,02:30:00
60252,Kentucky,flood,2012-02-29 09:00:00,2012-02-29 13:00:00,0.0,36.85,-87.48,2012-02-29,09:00:00
60338,Arkansas,flood,2012-02-01 00:00:00,2012-02-22 15:00:00,5000.0,34.6999,-91.3372,2012-02-01,00:00:00
60338,Arkansas,flood,2012-02-01 00:00:00,2012-02-25 02:00:00,5000.0,35.2749,-91.2427,2012-02-01,00:00:00
60362,Utah,flood,2012-01-19 08:00:00,2012-01-20 08:00:00,50000.0,41.315,-111.8676,2012-01-19,08:00:00
60362,Utah,flood,2012-01-19 06:00:00,2012-01-20 06:00:00,100000.0,41.7191,-112.0242,2012-01-19,06:00:00
60364,Utah,flood,2012-01-21 16:00:00,2012-01-22 12:00:00,50000.0,41.0294,-111.6815,2012-01-21,16:00:00
60364,Utah,flood,2012-01-21 12:00:00,2012-01-21 20:00:00,80000.0,41.33,-111.87,2012-01-21,12:00:00
60371,Mississippi,flood,2012-02-18 17:00:00,2012-02-18 19:00:00,0.0,31.5249,-89.014,2012-02-18,17:00:00
60371,Mississippi,flood,2012-02-18 17:00:00,2012-02-18 19:00:00,0.0,31.3163,-89.9588,2012-02-18,17:00:00
60400,Oklahoma,flood,2012-01-25 15:45:00,2012-01-27 21:15:00,0.0,35.1967,-94.6565,2012-01-25,15:45:00
60459,Louisiana,flood,2012-03-11 19:00:00,2012-03-11 20:45:00,0.0,32.51,-92.08,2012-03-11,19:00:00
60462,Maryland,flood,2012-02-29 18:11:00,2012-02-29 19:30:00,10000.0,39.4357,-79.3185,2012-02-29,18:11:00
